stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0.56,0,0,1.41,1.69,0,0.28,0,0,0.85,0,0
21Day,0,0,0,1.11,0.74,0,0,0,0,0,0,0,0.74,0,0,1.48,0.37,0,0,0,0,0,0,0
3Month,0,0.1,0.1,1.66,0,8.74,0.1,0,0.21,0.1,0.83,0.1,0.31,0.42,0.1,0,0,0,0,0.1,0.42,0,0,0.1
22Month,0,0,0,0.55,0,9.29,0,0.14,0,0,0,0.14,0.27,0.14,0,0,0,0.14,0.14,0,0,0,0.14,0
