stage,Endothelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,0,1,0
72hpf,0,0.28,0,0,1.13,0,0,0.28
3Month,0,0,0.1,0.1,0.1,0.1,0,0
22Month,0.14,0,4.37,0,0,0,0,0
