stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,2.54,0.56,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0.74,0,0,0,0,0.74,0.74,0,0,0,0.74,0.74,0,0.37,0.37,0,0,0
3Month,0,0.42,1.25,5.72,0.31,0,1.04,0.73,0,63.24,1.87,0.21,3.95,1.56,1.66,1.87,1.87,0.83,0.1,0.52,0.73,0.1,0.1,0.31,0.1,0,0.21,1.87,4.37,0.21,0,0.1,3.85,0.42
22Month,0.14,0.68,0.55,2.6,0.14,0.27,0.14,0.96,1.09,142.39,1.78,0.82,10.39,0.14,0.68,1.64,3.01,0,3.55,0.41,0,0.41,0.14,0.68,0.27,0.68,0,0.55,4.1,0.27,0.27,0,0,0.14
