stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0.37,0
3Month,0.1,0.1,0.1,0,0,0.1,0.62,0.1,0,0.21,0.1,0.1,0,0.1,0.31,0,0.21
22Month,0,0,0,0.14,0.14,0,1.78,0,0.14,0.68,0,0,0.14,0,0,0,0
