stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Radial_glia,T_cell
21Day,0.37,0,0,4.81,0.37,6.66,0,0.37,0.37,0.37,7.4
3Month,0,0.21,0.21,0.1,0.21,0.42,0.1,0,0,0,1.77
22Month,0,0,0,0,0,0.68,0.14,0,0,0,1.09
