stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0
3Month,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0
22Month,0,0.27,0.14,1.09,0,0,0.14,0,0.68,0.14
