stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.69,0.28,0.28,0,0,0,0,0.28,0,0.28,1.69,0,4.51,0,0.28,0,84.27,21.14,0,0.28,2.25,0,0,0,7.33,2.25,1.69,0.28,0,0,0
21Day,0.74,0.37,0.37,0.74,0.37,0.37,0,0,0.37,0,0,2.22,0,1.48,0,2.96,0,0,0,15.17,7.4,0,0,0,1.85,0,0,1.48,0.74,0.74,0,0,0,0
3Month,0,0.1,0,1.14,0,0,0.62,0.21,0.83,0.21,0.1,9.57,0,1.14,0.1,0.31,0.21,0,0.21,0.1,0,0.1,0,0,0.1,0.1,0.31,0.1,0,0,0.1,0.1,0.62,0.1
22Month,0,0.41,0.27,0.55,0,0,0.68,0.55,3.42,0,0.27,9.43,0,0.27,0.27,0.41,0,0,0,0.27,0,0.14,0,0,0,0,0.27,1.5,0.14,0,0,0,0,0
