stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,1,0,0,0,0,3,1,2,0,0,0,1,230,0,0,0,0,0,0,0,11,0,0,0
72hpf,0.56,0,0.56,0,0,0,0,0,0,0,0.85,1.13,0,0.56,0,0,0,14.09,47.07,0,0,2.82,0,0,14.94,0,2.82,0,0,0
21Day,1.11,0,1.85,0.74,0,0,0,0,0,0.37,0,0,0.74,0.74,0,0,0,5.18,13.69,0,0.74,0,0.37,0,6.66,0.74,0,0,0,0.37
3Month,0.1,0,0.52,0,0.21,0.1,0,0.62,0.21,0,2.81,0.21,0.1,0.1,0.1,0,0.1,0.1,0.31,0,0.21,0,0.1,0.83,0.31,0,0.1,0.21,0.62,0.31
22Month,0,0.14,0.14,0,0,0,0,1.78,0,0.14,0.14,0,0.27,0.27,0,0.14,0,0,0,0.27,0.96,0,0,1.78,0.41,0,0,0,0,0
