stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,11.84,0,0,0.28,0,0.28
21Day,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0.37,0.37
3Month,0,0,0.1,0,0,0,0,0,0,1.14,0.21,0,0.21,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0
22Month,0,0.27,0,0.27,0.14,0,0.14,0.14,0.27,19.27,0.14,0,0.82,0.14,0.82,0.41,0.14,1.09,0,0.27,0,0.27,0,0.27,0
