stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,1,0
72hpf,0.28,0.28,0,0,0,0.28,0,0,0,0.28,0.28,0.85,0,0,26.49,2.54,0.28,0.56,0,0.56,0,0
21Day,0,0.37,0.37,0.37,0.37,0.74,0.37,0,0,0,0,2.22,0,0,20.35,1.48,0,0.37,0,1.85,0,0.37
3Month,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0.27,0,0,0,2.46,0.41,0,0,0.27,0.14,0,0,0,0,0,0.14,0,0,0
