stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,20,0,0,0,0,0,0
72hpf,1.13,0,0,0.85,0,0,0,0,0,0.28,0,0.85,0,0,0.56,0.28,0,0.85,1.97,0.28,0,0,0.28,0,0
21Day,0.74,0,0,1.48,0.74,0,0,0,0,1.11,0,0,0,0.74,1.11,0,0.37,0.74,0.37,1.48,0,0,0,0,0
3Month,0,0.1,0.1,1.56,0,0.42,0.62,3.64,0.1,0,0.94,0.1,0.1,0.52,0.1,0,0.42,0,0,0,0.31,1.35,0,0.1,0.1
22Month,0,0,0,0,0,0,0,1.09,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
