stage,Epithelial_cell,Hepatocyte,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0.28,0,0
21Day,2.59,0,0,0,0
3Month,0.62,0.21,0,0.1,0.31
22Month,0.41,0,0,0,0
