stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,1.41,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,1.48,0,0,0
3Month,0.1,0.73,0,0,0,1.56,0,0.21,0,0,0.1,0,0,0,0.52,0.1
22Month,0.68,0.55,0.14,0.27,0.14,3.28,0.14,0.14,0,0.14,0.14,1.09,0,0,2.87,0.14
