stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,4.06,0.42,0.31,0,1.25,0.1,0,0.1,0,0.52,0.42,0,0.21,0,0.42,0.21,0,0,0,0.73,0,0.21,3.02,0
22Month,2.87,0.41,0.96,0.82,3.55,0.41,0.14,2.46,0.41,0.27,1.5,0.14,0.14,0.27,0.41,0.14,0.14,0.14,0.14,0.68,0.14,0.14,0,0.27
