stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,14,0,0,0,1,2,124,0,0,7,0,0,0,0,0,1,0,0,0
72hpf,1.41,0.56,0,1.13,0,0.28,0,0,0,0,0,0,0,1.13,1.41,0,4.79,0,0,0,0,27.62,18.32,0.28,0,3.66,0,0,2.54,0,0,0,0,0,0
21Day,0,0.37,0,3.33,0,2.22,1.48,0,0,0,0,1.11,0.37,0,0.37,1.48,5.18,0,0,0.74,0,9.25,9.99,0,0,1.11,1.11,0,0.37,0,0.37,0,0,0,0
3Month,0,0.21,0.1,1.25,0.1,0,0,0.21,1.66,3.33,0.1,0.21,1.46,0.42,0.42,1.04,0.52,0.1,0,0,0.42,0.31,0,0,0,0,0,5.93,0.1,0,0,0.31,0.31,0.1,0.1
22Month,0.27,0.14,0,0.41,0,0,0.14,0,0.55,3.01,0.27,0.41,0.96,0,0.14,0.41,0.14,0,0.14,0,0,0,0,0,0.27,0,0,0.55,0,0.14,0,0,0,0,0
