stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,6,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.69,0.28,0,0,0.28,0,0,0,0,0,0.28,8.17,0,1.41,0.28,0,0,3.95,1.69,0,0,0,0.28,0,0.28,0,0.28,0,0,0
21Day,0,0,0.37,11.1,0,0,0,0,0,0,0,0.74,0,0.37,6.29,0.74,1.48,0.37,0,0,1.48,0.37,0,0,1.11,0.74,0.37,0,0.37,0,0,0,0
3Month,0,0.21,0,1.35,0,1.56,0.21,0,0,3.22,0.42,0.1,0.83,0.31,0.83,0.52,0.62,0,0.1,0.42,0.21,0,0.21,0,0,0.1,1.66,0,0,0,0.1,0.83,0.31
22Month,0,0.27,0.55,3.28,0,0.96,0.41,0.55,0,8.88,0.27,0.27,3.28,0,0.14,1.78,0.68,1.23,0,0.14,0.14,0,0.14,0.14,0,0,0.55,0.41,0,0.14,0.14,0,0.27
