stage,Epithelial_cell,Goblet_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,1,0,1,0
72hpf,0.85,0,0,1.13,0,0,0,0
21Day,1.85,0,0.37,0.37,0.37,0.37,0,0.37
3Month,0.21,0.1,0.1,0,0,0,0,0
