stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0.56,1.69,0,0.56,1.97,1.13,0,0,0,0,0.28,0
21Day,0,0.37,1.85,0.74,1.11,0,0,0.37,0,0,1.11,0.37,0,0,0.37,0.37,0.74,1.11,0,0,0.74
3Month,0,0,0.21,0,0,0.21,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0
22Month,0,0,0,0,0,0,0.27,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0
