stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.21,0,0.21,0.1,0,0.1,0,0.1,0,1.14,0,0.1,0.1
22Month,0.14,0.14,0.14,0.68,0,0.27,0.14,0.14,0.14,0.14,4.24,0.14,0,0
