stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0,0,0.56,0.28,0.56,0,0,0,0,0.28,0,0,0,0,1.13,0.28,15.22,0,0.56,0,0,1.69,2.25,0.28,0,0,0.85,0,0,0.28,0,0,0,0,0,0
21Day,1.11,0.37,0.37,2.96,0.37,2.59,0,0.37,0,0,1.11,0,0.37,1.11,0.37,4.44,0.37,76.96,0,0.37,0.37,0,5.18,2.22,0,0,0,29.97,2.59,1.11,0.74,1.11,0.74,0.37,0,0,1.48
3Month,0.21,0.42,0.31,10.4,0,0,0.21,0.31,1.56,0.1,5.93,2.18,0.52,3.54,0.94,1.77,1.66,67.4,0.62,0,1.56,0.1,1.25,0,0.52,0.1,0,0.1,0.73,29.54,0.21,0,0,0,2.29,10.71,1.56
22Month,0.27,0.68,0.14,1.09,0,0,0,0.41,0.68,0.41,9.43,0.55,0.14,1.23,0.27,0,1.37,3.14,0,0.14,2.19,0,0.41,0,0.14,0.27,0.27,0,0,6.83,0,0,0,0,0,0.14,0.55
