stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,2,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,4.23,0,0.56,0,0.28,0,0,0,0,0,0,0,0.85,0,0.28,0.56,1.13,0.56,0.28,0.28,18.88,1.13,0,0,1.13,0,0,0.56,11.84,0,0,0
21Day,0,0.37,3.7,0.37,1.11,0,0,0,0,0,0,0,0,0.74,0,1.11,0,0.37,2.22,0,5.55,0,9.62,1.11,0,0,0.74,0,0,0.74,5.55,0,0,0
3Month,0,0,8.74,0.52,0,0.1,0,0.21,0.1,0,0,0.94,0.31,0.1,0.52,23.92,0.42,0.1,0.42,0,0.1,0,0.83,0,0.73,0.1,0.1,0,9.15,0,1.25,0.1,8.43,0.83
22Month,0,1.37,1.78,0.27,0,0,0,0.14,0.27,0.41,0,13.53,0,0.27,0.41,1.37,0,1.64,1.37,2.19,1.5,0,0.41,0,0.82,0,0,0.27,1.23,0.14,0.68,0.14,0,0.68
