stage,Cardiomyocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0.28,1.13,0.28,0,0.28,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0.14,0,0.14,1.23,0.14,0.14,0,0.14,0,0,0.14,0,0
