stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,1,0,6,0,0
72hpf,0,0.85,0,0,0,0,2.25,0,0,1.13,0.56,0,0.28
21Day,1.85,0,0,0,0,0,0,0,0.37,0.37,0.74,0.37,0
3Month,0,0,0.1,0.21,0,0,0,0.1,0,0.1,0,0,0
22Month,0,0,0,0,0.27,0.14,0,0,0,0,0,0,0
