stage,Cardiomyocyte,Goblet_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.56,0,0,0,0,0,0,0.56,0.28,0,0.28
21Day,0,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0.1,0,0.1,0,0,0.1,0,0,0.21,0
