stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,0,0.37,0.74,0,0,0.74,0,0,0,0.37,0,0.74,0,0.37,0,0,0.74,0,0,1.11,0.37,0.37,0,0.37,0,0.37,0,0.37,0,0,1.48
3Month,2.39,0.1,0.73,2.91,0,0,0.1,0.1,13,0.42,0.21,0,6.35,0.73,0,2.81,0.42,0.21,0.21,0.52,0.21,0.1,0,0.1,0.1,0.1,0.73,1.35,0,0,0,0.21,0.73,1.25
22Month,0,0,0.55,1.23,0,0,0.14,0,4.1,0.27,0.27,0,8.47,0,1.5,1.37,0,0.27,3.55,0.41,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0.27
