stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.82,0.56,0,0,0,0,0,0,0,0,0,9.3,0.28,4.79,0,0,0,0,1.13,0,0,0,4.79,0,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0,0.37,113.96,0.74,0,0,0,0.37,0.37,0,1.85,0.37,1.11,79.18,2.22,9.99,0,0,0.74,0,2.59,1.11,0.37,0.74,5.55,1.48,0,0,0.37,1.11,0.37,0,0,0.74
3Month,0,0.21,0.1,51.59,0.1,0.31,0,0.1,0.31,1.66,0.73,0.1,0.73,1.77,32.25,1.56,2.6,0.42,0,0,0.42,0.42,0,0.83,0.1,0,0.31,0.31,0,0,0,0,0.31,0.21,0.62
22Month,0,0.27,0.55,15.99,0,0,0.14,0.14,0.27,0.55,0.14,0,0.14,0.27,12.16,0.96,0.82,0,0.14,0.14,0,0.27,0,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0.55
