stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0.85,0,11.27,0.56,0.56,0
21Day,0.74,0.37,0,0,0,0,1.11,16.65,0,0.37,0.74
3Month,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0,0,0.41,0,0.14,0,0,0,0,0,0
