stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,3,7,0,0,0,0,0,0,0,0,2,6,30,0,0,0,5,190,0,0,5,0,0,0,0,2,0,0,0
72hpf,4.23,0.56,3.1,0.28,0.85,0.28,0,0,0.28,0,2.54,3.66,0.28,14.37,1.41,0.28,0,17.19,65.11,0.56,0,6.2,0.56,0,3.38,0.28,0,0,0,0
21Day,4.81,0,4.07,0,0.74,1.11,0.37,0,0.74,0.37,0,1.48,0.37,12.21,0,1.11,0.37,4.81,15.17,0,0.74,2.96,0.37,0.37,2.22,0,0,0,0,1.11
3Month,0,0.1,0.21,0,0,0,0.1,0.42,0.1,0.21,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0.1,2.18,0,0,0.1,0.1,0.1,0
22Month,0,0,0.14,0,0,0,0,0.55,0,0.41,0,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
