stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,1,27,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,1.41,7.61,0.56,0,0,0,0,0,0,0,0,0,1.41,0,5.36,0,0,0,0.28,30.44,6.2,0,0,0,1.13,0,0,1.97,0,0,0,0,0
21Day,1.11,0,0,2.22,12.21,0,0,0,0,0,0,0,0,0,0,1.85,0,1.48,0,0.37,0,0.37,19.61,1.48,1.85,0,0,0.74,0.74,0.74,0.37,0.37,0,0,0,0
3Month,0.1,0.42,0.42,70.73,0.52,0,0.1,0.1,0.52,1.77,0,10.09,2.6,2.18,4.99,1.66,1.35,2.6,0.31,0.1,0.52,3.12,13.63,0,1.98,0.21,0,0,0.52,17.27,0.1,0.1,0.1,0.42,217.19,1.35
22Month,0.41,0.68,0.14,24.73,0.27,0,0.14,0,0.41,1.23,2.73,40.72,0.27,3.55,0.27,0.27,0.68,1.91,0.14,3.01,0.27,0.55,3.14,0.27,0.96,0,0.14,0,0.27,19.95,0,0,0.55,0,0.96,0
