stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,5.36,1.69,0,0.85,0,0,0.28,0.28,0.28,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0.74,1.11,0,2.22,1.85,0,1.48,0,0,0,0,0,0,0.37
3Month,0,0.31,0.83,0,0.1,0.1,0.1,0,0.62,0.21,0,0.42,0.1,0.1,0.52,0.42,0,0.1,0,0.1,0.1,0,0.94,0,0,0,0.42,0.1
22Month,0,0.14,0.27,0,0,0,0.27,0.27,1.64,0,0,0,0,0,0.14,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0
