stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0.28,0.28,1.97,2.25,0,0.85,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,1.48,1.11,0.37,0,0,1.11,0
3Month,0,0,0,0.62,0,0,0.1,0,0.21,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.42,0,0.31
22Month,0,0,0.14,0,0,0,0,0,0.41,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0
