stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,1,0,1,1,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,12.68,0.85,0,0.28,0.28,0
21Day,0.37,0,0.37,0,0,0.37,0,8.51,0.37,0.37,0,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0.41,0.14,0,0.96,0.14,0.14,0.27,0,0,0,0,0,0
