stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0.85,0.56,0,0,0.28,0,0,0,0,0,0,0.28,0,0,1.69,0,0,4.23,2.82,0,0.28,0.85,0,0,0,0.28,0.28,0,0,0
21Day,0,0.74,2.59,3.33,0,0,0,0,0.37,0.37,0,0.74,0,0,1.11,0.74,1.48,0,0,3.33,1.11,0,0,0,1.11,0,0.37,0,0,0,0,0
3Month,0,0.1,2.5,0,0.1,0,0.42,0.21,0,1.66,0.52,0.1,0.94,0.1,1.25,0.73,0.62,0.1,0.31,0,0,0.1,0,0,0.1,1.04,0,0,0,0.62,1.46,0.42
22Month,0,0.41,0.14,0,0,0.14,0.27,0.55,0.27,3.69,0.27,0.14,0.55,0,0,0.14,0.41,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
