stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0.28,0,0,0,0.85,0,0,0,0,0,0,1.41,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0.74,0,0,0,1.48,0,0,0.37,7.4,0,0.37
3Month,0.1,0,0.21,11.03,0.1,0,0.1,0,0.1,0,1.46,0.83,0.31,38.9,0.73,0.42,1.04,0.1,4.37,0,0,0.1,0,0.1,0.83,0.1,0,1.46,0.73,0.1
22Month,0.14,0.27,0,20.36,0,0.27,0,0.14,0.14,0.27,3.01,0.27,0.68,8.2,0.14,0.27,0.27,0,0.41,0,0,0,0.14,0,0,0,0,0.14,0,0.14
