stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48
3Month,0.1,0.31,0,0.1,0,0.1,0,0,0.1,0.21,0,0,0,0.1,0.1,0
22Month,0.14,0.27,0.14,0,0.27,1.78,0.55,0.14,0.14,0,0.41,0.14,0.14,0.14,0,0.27
