stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,1.69,0,0,0.56,0,0,1.69,0,0,0
21Day,0.74,1.48,0,0,0,0,0,3.7,0,0,0.37,0,0,1.11,0,0,0
3Month,0.94,1.35,0.21,0.1,0.21,0.1,0.21,1.14,0.1,0.21,0.1,0,0.1,0,0.1,0.31,0.1
22Month,1.37,0.82,0.96,0,0,0,0,0.55,0.14,0.14,0,0,0,0,0,0,0
