stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,1.13,0.56,1.13,0,0,0.28,0,0,0,0,0,0.28,1.97,0,0.56,0,0,0,0,79.2,3.66,0.28,0,2.54,0,0,0.56,29.31,21.42,0.28,0,0
21Day,0.74,0,0,6.29,0,1.11,0.74,0,0,0,0.74,0,0.37,0,0,0.74,0.37,4.44,0,0,0.37,0,23.31,4.07,0,0,2.59,1.85,2.59,0.37,15.91,21.09,0.74,0,0.37
3Month,0,0,0,3.54,0,0,0.1,0.83,0.52,0,23.4,0.21,0.1,3.33,0.1,0.31,0.42,0.83,0.52,0,0.31,0.1,0,0,0.1,0,0.1,0,12.07,0,0,0,0,5.3,0.62
22Month,0,0.55,0.14,1.78,0.14,0,0,0.41,0.41,0.55,49.33,0.27,0.27,6.42,0,0,1.23,0.82,0.14,4.65,0.14,0,0,0,0.14,0.14,0.14,0,3.14,0.27,0.96,0,0,0.14,0
