stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28
21Day,0,0,0.37,3.33,0.74,0,0.74,0,0,0,0,0,1.85,0.37,0.37,7.4,0.74,1.11,0,0.37,0,0.37,0,0,0.74,1.11,0,0.37,0,0.74
3Month,0.1,0.73,0.42,12.27,0,0.21,0.1,1.14,1.46,0,2.91,0.73,0.31,6.97,0.73,2.91,0.83,0.21,0,0.21,0.62,0,0,0.1,0.1,0.21,0.1,0.21,0.21,1.98
22Month,0,0.68,1.78,2.87,0,0.27,0.14,0.96,0.55,0.27,8.06,0.41,0.27,17.76,0,0.55,0.68,0.82,0.41,0.27,0.14,0.14,0.14,0.55,0,0,0,1.23,0.14,0.68
