stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0.28,0,0,0,0,0,0.56,0,0,0.28,0,5.07,0.28,0,0,0.28,0.28,0,0,0.28,0
21Day,0,0,1.11,0,0.37,0,0,0.37,0,0.37,0.37,0,0,0,1.11,0.37,0,0,0,0.74,0,0,0,0
3Month,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0,0,0,1.66,0,0,0.1
22Month,0,0.14,1.09,0,0,0.41,0.14,0.27,0.27,0,0.14,0.14,0,0,0.41,0,0.14,1.78,0,0,2.87,0.27,0,0
