stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,2.25,0.28,0,4.79,0,0.85,1.97,0.28,0,0,1.13,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,1.85,0,2.59,1.48,0,0,0.37,0,0,0,0,0.37
3Month,0.31,0.21,2.6,0.1,2.08,0.21,0,1.46,0.1,0.94,0,0,0.1,1.04,0.1,7.18,0,0.1,0.1,0,0,0.1,0.21,0.1,3.22
22Month,0.55,1.78,2.32,0,1.78,0.27,0.55,2.05,0,3.55,0,0,0.27,0.82,0,3.55,0,0,0.14,0,0,0.27,0.41,0.14,0.68
