stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21Day,0,0,0.37,0.74,0,0,0,0.37,0,0,0,0,4.44,0,0,0,0,0,0
3Month,0,0.1,0,0,0,0.1,0.21,0,0.21,0.1,0.1,0,0.1,0,0.1,3.22,0.1,0.52,0.21
22Month,0.14,0.14,0,0.27,0.14,0.41,0,0,2.46,0.14,0,0.27,0,0,0,2.87,0,0,0
