stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0.28,0,0,0.28,0,0,0,0,0,0,0,1.97,1.41,0,1.41,0,0.85,0,0,2.82,8.46,0,0,0.85,0.28,0,0,0,0.28,0,0
21Day,5.18,0.37,0,15.17,0.37,2.22,0,2.22,0,0,0,1.85,0.37,3.33,0.37,0.37,6.29,2.59,9.62,0,0,1.48,0,2.59,7.77,0,0.37,3.33,2.59,0,0.74,0.37,0,0,0.37
3Month,0,0,0.42,1.98,0,0,0.1,0.1,0.1,0.31,0,16.75,0.42,0,2.91,0.31,0.52,0.52,0.83,0.42,0.1,0,0.42,0,0,0,0.1,0,0.31,1.66,0,0,0,0.21,0.62
22Month,0.14,0,0.55,1.09,0,0,0.14,0.14,0.14,1.91,0.55,30.61,0.14,0.68,4.37,0,0.27,2.19,1.23,0,0.82,0.14,0,0.14,0,0.27,0,0,0.14,0.14,0,0,0.14,0,0.27
