stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0.37,1.11,0.37,0,0,0,0,0,5.55,0.37,0,0,0.74,0.37,0,0.37,0,1.11,0,0,0,0,0,0,0.37,0,0,0,2.59
3Month,0,0.83,0.1,1.25,0,0.31,0.62,1.46,0,3.43,4.78,1.66,0.52,0.21,0.42,3.95,0.42,0,0.52,0.1,0,0,0.1,0,0,0.21,1.46,0,0,1.35,1.14,10.61
22Month,0.14,1.64,0,0.55,0,0.68,0,7.52,1.64,4.24,1.91,3.69,0.27,0,0.14,6.15,0.55,0.27,0.82,0,0,0.14,0.27,0.27,0.14,0,1.5,0,0.14,0,0,2.73
