stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,1.13,0,0,0,0.85,0,0,0,0,0,0
21Day,0,0,2.59,0.74,0,2.22,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0,4.07,0,0,0,0,0.74,0.37,0.37,0,0,0
3Month,0.21,0,72.92,0,0.1,0,0.31,0.62,0,2.39,0.73,0.1,1.25,1.56,31.31,1.04,0.94,0.21,0,0.21,0.31,0.52,0,0.1,0.42,2.08,0,0,0,0.31,0.52,0.62
22Month,0,0.14,6.7,0,0,0,0,0.14,0.14,2.19,0.55,0.14,0.41,0.14,4.1,0,0.41,0,0.27,0,0,0.14,0.14,0,0,1.64,0.14,0.41,0,0,0,0
