stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.21,0.1,0.21,0,0.42,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.42,0.42
22Month,0.14,0,0,0.27,0.27,1.5,0,0,0,0,0.14,0.27,0,0,0,0,0.14
