stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0.28,0,0.56,0.85,0,0,0,0,0.28,0,0,0,0
21Day,0.74,0.37,0,1.48,0,0.37,0,0,0.37,0,0.74,0,0,0,0.37,2.96,0,0,0,1.11,0.37,0,0,1.11,0.37,0,0,0,0,0.37
3Month,0,1.87,0.1,0,0.1,0.21,0.73,0.62,3.33,0.31,0.21,1.98,0.21,1.35,0.52,0.73,0.31,0,0.31,0.21,0,0.31,0.1,0,0.42,5.1,0.21,0.31,2.6,0.42
22Month,0.14,0.96,0,0,0,0,0.14,0.14,6.42,0.41,0.27,1.09,0,0.14,0.55,0.41,0,0,0,0,0.14,0,0.14,0,0,0.27,0,0,0,0.68
