stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,3.1,0,0,0,0
21Day,0,0,0,0,0,0,0.37,1.85,0,0,0,0
3Month,0.1,0.1,0.42,0.1,0.31,0.1,0,0.1,0.1,0.73,0.1,0.1
22Month,0,0,0.27,0,0,0,0,0,0,0,0,0
