stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,1.13,0.56,0.56,0,0,0,0,0,0,0,0.28,1.69,0,8.46,0,0.85,5.07,2.54,0,0.28,8.17,0,0,0.85,0.56,0.28,0.28,0,0,0
21Day,2.59,1.48,4.07,1.11,0.74,0,0,0,0,0,0.74,0,0,2.96,0.74,27.38,0,3.33,1.48,2.22,0,0,5.55,0.74,0,0,0,0.37,0.37,0,0,1.85
3Month,0,0.42,3.12,0,0,0.1,0.1,0.52,0.83,0,0,0.21,0.1,1.14,0.21,3.54,0.42,0.31,0,0,0.21,0,0.1,0.21,0.31,0,0,0,0,0.21,0.21,0.52
22Month,0,0.82,0.96,0,0,0,0,0,1.78,0.14,0,0,0,0.14,0,2.6,0,0.14,0,0.14,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0.41
