stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,20,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0.56,0.28,0,1.13,0,0.28,0,0,12.12,3.95,0,0,1.41,0,0,1.13,2.54,4.51,0,0,0
21Day,0,0,0.37,0.37,0,0.37,0,0.37,0,0,0.37,0,1.11,0.37,0,0.37,0.37,2.96,0,0,0,0.37,3.7,1.11,0,0,0.74,0,0.74,0.74,11.1,44.03,0,0,0.37
3Month,0,0.1,1.77,0,0,0,0.31,0,0.73,0,3.43,0.31,0.31,1.25,0.52,0.94,0.21,0.73,0.1,0,0,0.31,0.1,0.21,0.31,0.21,0,0.21,8.84,0.21,0.1,0,0,6.55,0.21
22Month,0.55,0.14,0.14,0,0,0,0,0.14,0.27,0.55,4.51,0.41,0,0.27,0,0.14,0.55,0.82,0,0.14,0.14,0,0.27,0.14,0,0.14,0,0,1.78,0.14,3.14,0,0,0,0.41
