stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0
21Day,0,0,0,2.59,0,0,0,0,0,0,0,0,1.48,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,12.79,0.21,3.43,0.21,0,1.98,0.21,7.8,1.14,2.08,1.66,0.31,4.68,0.1,0.21,0,0.42,0.1,0.21,0.1,0.1,0.21
22Month,0,0.14,0.27,1.78,0.14,0.27,0.14,0.14,1.37,0,3.69,0,0,0.27,0,0.27,0,0,0,0,0,0.14,0,0,0
