stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0.28,0,0,0,0,1.69,0,0,0
21Day,0.74,0,0.74,0,0.74,0,0,8.88,0,0,12.21,1.48,0.37,0.37,0,0.37,0.37,0.37,0,0,0,1.85
3Month,0,0.21,1.14,0,2.39,0.52,0.62,0,0.42,0.42,12.38,0.42,0,0,0,0,0.31,0.21,0,0.1,0.1,3.33
22Month,0,0.14,0.55,0.14,1.78,0.96,0.55,0.27,0.14,0,5.06,0,0,0.14,0.14,0,0,0.27,0,0,0,2.19
