stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,40,0,0,0,0,0,0,1,0,0,0,0,0,280,1,6,0,0,0,1,27,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,65.39,16.35,0,146.84,11.84,115.84,3.1,0.28,2.82,0,0,0.85,0,4.51,0.85,27.34,2807.49,14.37,170.24,7.33,6.2,1.97,918.26,433.76,3.38,3.95,187.15,2.54,0.85,65.11,3.38,3.1,13.81,0,0,0
21Day,0.74,0,0,38.85,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0.37,76.22,0,1.85,0,0.37,0,3.7,3.33,0,0,1.11,2.22,0,0,0,0.37,0.37,0,0,0.37
3Month,0,0,0,0.21,0,0,0,0,0.21,0,0,0.52,0,0,0.21,0,0.1,0,0.1,0,0.42,0,0,0,0,0,0,0,2.91,0,0,0,0,0,1.14,0
22Month,0,0.14,3.14,0.27,0,0,0,0.14,1.09,0.14,0,1.64,0.82,0,3.55,0,0.14,0.27,0.41,0.14,0,0,0,0,0,0.27,0,0,1.09,0,0,0,0,0.14,0,0
