stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.25,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0,0.31,1.87,0.1,0,0.73,0.21,0.21,3.22,0.52,0,0.73,0,0,0.42,0.1,0.1,0,0.1,0,0,0.52,0.1,2.91
22Month,0.14,0,0.27,0.27,0.27,0.14,0.14,4.65,0.14,0,4.1,0,0.14,0.27,0.27,0.55,0,0,0,0,0.14,0.27,0.14,0.14,0,0.14
