stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,1.41,0,0.56,0,5.64,2.25,0,0,0,0.56,0.28,0,0.28,0,0,0,0,0
21Day,0.74,0,0,0.37,1.48,0,1.11,0,0,0,0.37,0,0.37,0,0,0,0,0.74,0,0,0,1.48,0.74,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.31,0.1,3.12,0,0.1,0.1,0.21,0.31,0,1.98,0,0.1,0.73,0.21,0.52,0.31,0.62,0.1,0,0.21,0.21,0,0.31,0,0,0,0.1,2.81,0,0,0,0.52,3.02,0.94
22Month,0,0,0,0.41,0,0,0,0.14,0.41,0.27,2.73,0.27,0.14,0.14,0,0,0.14,1.23,0.14,0.27,0.14,0,0,0,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0.14
