stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,134,0,0,0,21,0,77,0,0,0,0,0,0,0
72hpf,1.97,0.28,0.28,0.28,0.85,0,0,0,0,0,0,0,0.85,0.85,0,59.75,0,0.28,7.05,4.51,0.28,120.07,0,0,1.13,1.13,0,0,0
21Day,1.48,0,0.74,0,1.48,0,0,0,0,0,0,0,0,0.37,0,36.26,0,2.59,0,0.74,0,17.76,1.48,0,0,0,0,0,0.37
3Month,0,0.1,0.73,0,0,0.31,0.21,0.31,0,0.52,0.21,0.1,0,0,0.31,12.07,0.52,0,0.1,0,0,0.1,0,0.21,0,0,0.52,0.31,0.31
22Month,0,0,0,0,0,0,0,0,0.14,1.23,0,0,0,0,0.14,1.91,0,0.27,0,0,0,0,0,0,0,0,0,0,0
