stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0,0.28,0,4.51,2.54,0,0,2.54,0.28,0,0.28,0,0,0,0
21Day,0,0.37,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,1.48,0,0,0,0.37,1.11,0,0,1.11,0,0,0,0,0,0,0
3Month,0.1,0.21,0.21,1.04,0,0,0.21,0.94,0,2.7,0.73,0.1,0.62,0.21,1.04,0.52,1.46,0.31,0,0.1,0.21,0,0.31,0.1,0.21,0.42,3.33,0,0,0.1,133.56,0.42
22Month,0,0,0,0.55,0,0,0,0.14,1.23,3.69,0,0.14,0.27,0,0.14,0,0.68,0,0.27,0,0.14,0,0.27,0,0,0,0.14,0.14,0.14,0,0.14,0
