stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,3.1,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,8.14,1.85,0,1.11,0,0,0,0,0,0,0,0.37,0,0,0,3.7,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0,0.1,17.68,0,0.42,0,0.73,0.73,1.77,0.52,0.1,0.73,0.1,0.1,0.42,0.21,0.1,9.05,0.1,0,0.1,0.1,0,0.42,0.31,0.1,0.31,0.21
22Month,0,0,7.65,0,0.27,0,0.55,0.68,6.7,0.55,0.27,1.09,0.14,0.14,0.82,0.41,0,6.15,0,0,0,0,0,0,0,0,0,0
