stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,2,1,13,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.97,1.97,0.28,0,0,0.28,0,0.28,0,0,0,0.85,2.82,0.56,0.85,0,0,0,0,2.54,1.69,0,0,0,0.56,0,0,0.28,0,0.28,0,0,0
21Day,0,0,1.85,0.74,0,0,0,0,0,0.37,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0.74,0,0,0,0.74,0.37,0,0,0,0,0,0,0.37
3Month,0.21,0.42,9.36,0.31,0,0,0.73,0.94,0,8.43,1.25,0,1.04,2.6,0.94,1.35,1.35,0.31,0,0.52,0.62,1.56,0.21,0.52,0.1,0,0,0.94,11.23,0.1,0,0.42,0.73,173.81,0.42
22Month,1.5,0,3.55,0.27,0,0.14,0.55,4.24,2.87,38.26,0.41,0.27,0.41,0.14,0.14,1.78,1.09,0.14,0.68,0.41,0,0.55,0.27,0.41,0,0.96,0,0,6.15,0.68,0.14,0,0,0.27,0.14
