stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,2.82,0,1.13,0.85,0,1.69,0,0,0.28,0,0,0,0
21Day,1.85,0.37,0.37,0,0,0,0,0,0,0,0.37,0.74,0.74,34.04,0,0.37,4.81,0,2.22,0.37,0,2.59,1.11,0,0.37,0.37,0.37,0,0.37
3Month,0,0.62,0,4.37,0.1,0.21,0,1.14,0.1,0.31,0.1,0.31,0.21,19.87,0.42,0,1.35,0.1,0,0,0,0,0.1,1.14,0.1,0,0.1,0.1,0.31
22Month,0,0.41,0,0.82,0,0.14,0.41,0.96,0,0,0,0,0.14,1.37,0,0,0.27,0,0,0,0.14,0,0,0.14,0.55,0,0,0,0.14
