stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0,0,1.11,0,1.11,5.18,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,1.14,0.1,0.62,0.1,0.1,0.21,0.52,0.21,1.04,0.1,0,0,0,0,0.1,2.7,0.1,0,0.1,1.04,0.1
22Month,0,0,0,0,0.27,0,0,0.14,0,0,1.09,0,0,0,0.14,0,0,0.14,0,0,0,0,0
