stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48
3Month,0.21,0.94,0.1,4.58,0.1,0,0.52,0.1,1.14,126.9,0,5.1,2.29,0.62,1.56,0.52,1.66,3.85,2.39,0,0.73,0.62,0.1,0.21,0.21,0,0.1,1.66,1.35,0.1,0,0,0.94,1.25,52.22
22Month,0,0.82,0.27,0.96,0,0,0.68,0.14,0.14,174.91,0.55,6.97,0.41,0.41,1.37,0.14,0.14,7.93,1.09,0.27,0.27,0,0.14,0.27,0.27,0.14,0.14,0.41,0,0.14,0.27,0.14,0,0,32.25
