stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.56,0,0,0,0,0,0,0,0.85,0,0,2.54,0,0,0,0.56,0.85,0.28,0,0.85,0,0,0,0,0,0
21Day,0.37,0.74,0.37,1.11,0,0,0,0,0,0,1.11,0.37,0,0,1.11,0,0.74,0,0,0,0.37,0,0.37,0,0,0.37,0.74,0,0
3Month,0,0.94,0.1,1.56,0,2.08,0.1,0,0.42,0.1,2.81,0.1,0,0.31,0.52,0.1,0,0.42,0,0,0.21,0,0,0,0,0,6.66,0.21,0.1
22Month,0,0.96,1.78,1.09,0.14,2.46,0.14,13.66,1.09,0,14.76,0,0.14,0.96,0.55,0,0.14,0,0,0,0.41,0.14,0,0.27,0.14,0,1.37,0,0
