stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,1,0,1,0,0,0,0,0,0,2,1,3,0,0,0,10,0,0,0,0
72hpf,0,1.69,0.56,0,0,0,0,0,0,0.85,2.54,0,0,0.28,0.28,0.28,1.13,0,0,0.28,0
21Day,0,1.11,0,0,0,0,0,0.37,0,0,1.48,0,0.74,0,0,0,0.37,0,0.37,0,0
3Month,0.21,0.31,0,0,0.1,0,2.6,0,0.42,0.1,0.1,0,0,0.1,0.31,0,0,0.21,1.14,0,0.42
22Month,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
