stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,1,9,0,1,35,0,2,0,0,0,0,0
72hpf,1.69,0,0.28,0,0,0,0,0.28,0,0.28,0.56,0.28,2.82,0.28,6.76,8.74,0,2.54,0,0.28,0.28,0,0
21Day,0,0.74,0.37,0,0,0,0,0.74,0,0,0,0,0.74,0,0.74,1.48,0,0.74,0,0,0,0,0.37
3Month,0,0.21,0,0,0,0.31,0.1,0,0.1,0,0,0.21,0.1,0,0,0,0,0,0.31,0,0,0.1,0.21
22Month,0,0.27,0,0.14,0.27,1.64,0,0.14,0.41,0,0,0.27,0.27,0,0,0,0.14,0,0,0,0,0,0.14
